     table_name      |      column_name       |        data_type         | character_maximum_length |                  column_default                   | is_nullable | ordinal_position 
---------------------+------------------------+--------------------------+--------------------------+---------------------------------------------------+-------------+------------------
 Announcements       | id                     | integer                  |                          | nextval('"Announcements_id_seq"'::regclass)       | NO          |                1
 Announcements       | priority               | integer                  |                          |                                                   | YES         |                2
 Announcements       | title                  | character varying        |                      255 |                                                   | NO          |                3
 Announcements       | text                   | text                     |                          |                                                   | NO          |                4
 Announcements       | mediaPath              | text                     |                          |                                                   | YES         |                5
 Announcements       | mediaName              | text                     |                          |                                                   | YES         |                6
 Announcements       | companyId              | integer                  |                          |                                                   | NO          |                7
 Announcements       | status                 | boolean                  |                          |                                                   | YES         |                8
 Announcements       | createdAt              | timestamp with time zone |                          |                                                   | NO          |                9
 Announcements       | updatedAt              | timestamp with time zone |                          |                                                   | NO          |               10
 Baileys             | id                     | integer                  |                          | nextval('"Baileys_id_seq"'::regclass)             | NO          |                1
 Baileys             | whatsappId             | integer                  |                          |                                                   | NO          |                2
 Baileys             | contacts               | text                     |                          |                                                   | YES         |                3
 Baileys             | chats                  | text                     |                          |                                                   | YES         |                4
 Baileys             | createdAt              | timestamp with time zone |                          |                                                   | NO          |                5
 Baileys             | updatedAt              | timestamp with time zone |                          |                                                   | NO          |                6
 BaileysChats        | id                     | integer                  |                          | nextval('"BaileysChats_id_seq"'::regclass)        | NO          |                1
 BaileysChats        | whatsappId             | integer                  |                          |                                                   | YES         |                2
 BaileysChats        | jid                    | character varying        |                      255 |                                                   | NO          |                3
 BaileysChats        | conversationTimestamp  | character varying        |                      255 |                                                   | NO          |                4
 BaileysChats        | unreadCount            | integer                  |                          | 0                                                 | YES         |                5
 BaileysChats        | createdAt              | timestamp with time zone |                          |                                                   | NO          |                6
 BaileysChats        | updatedAt              | timestamp with time zone |                          |                                                   | NO          |                7
 BaileysMessages     | id                     | integer                  |                          | nextval('"BaileysMessages_id_seq"'::regclass)     | NO          |                1
 BaileysMessages     | whatsappId             | integer                  |                          |                                                   | YES         |                2
 BaileysMessages     | baileysChatId          | integer                  |                          |                                                   | YES         |                3
 BaileysMessages     | jsonMessage            | json                     |                          |                                                   | NO          |                4
 BaileysMessages     | createdAt              | timestamp with time zone |                          |                                                   | NO          |                5
 BaileysMessages     | updatedAt              | timestamp with time zone |                          |                                                   | NO          |                6
 CampaignSettings    | id                     | integer                  |                          | nextval('"CampaignSettings_id_seq"'::regclass)    | NO          |                1
 CampaignSettings    | key                    | character varying        |                      255 |                                                   | NO          |                2
 CampaignSettings    | value                  | text                     |                          |                                                   | YES         |                3
 CampaignSettings    | companyId              | integer                  |                          |                                                   | YES         |                4
 CampaignSettings    | createdAt              | timestamp with time zone |                          |                                                   | NO          |                5
 CampaignSettings    | updatedAt              | timestamp with time zone |                          |                                                   | NO          |                6
 CampaignShipping    | id                     | integer                  |                          | nextval('"CampaignShipping_id_seq"'::regclass)    | NO          |                1
 CampaignShipping    | jobId                  | character varying        |                      255 |                                                   | YES         |                2
 CampaignShipping    | number                 | character varying        |                      255 |                                                   | NO          |                3
 CampaignShipping    | message                | text                     |                          |                                                   | NO          |                4
 CampaignShipping    | contactId              | integer                  |                          |                                                   | YES         |                7
 CampaignShipping    | campaignId             | integer                  |                          |                                                   | NO          |                8
 CampaignShipping    | deliveredAt            | timestamp with time zone |                          |                                                   | YES         |               11
