     table_name      | column_count |                                                                                                                                                                                              columns                                                                                                                                                                                              
---------------------+--------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Announcements       |           10 | id, priority, title, text, mediaPath, mediaName, companyId, status, createdAt, updatedAt
 Baileys             |            6 | id, whatsappId, contacts, chats, createdAt, updatedAt
 BaileysChats        |            7 | id, whatsappId, jid, conversationTimestamp, unreadCount, createdAt, updatedAt
 BaileysMessages     |            6 | id, whatsappId, baileysChatId, jsonMessage, createdAt, updatedAt
 CampaignSettings    |            6 | id, key, value, companyId, createdAt, updatedAt
 CampaignShipping    |            9 | id, jobId, number, message, contactId, campaignId, deliveredAt, createdAt, updatedAt
 Campaigns           |           19 | id, name, message1, message2, message3, message4, message5, status, mediaPath, mediaName, companyId, contactListId, whatsappId, scheduledAt, completedAt, createdAt, updatedAt, fileListId, tagId
 ChatMessages        |            8 | id, chatId, senderId, message, mediaPath, mediaName, createdAt, updatedAt
 ChatUsers           |            6 | id, chatId, userId, unreads, createdAt, updatedAt
 Chats               |            8 | id, title, uuid, ownerId, lastMessage, companyId, createdAt, updatedAt
 Companies           |           12 | id, name, phone, email, createdAt, updatedAt, planId, status, schedules, dueDate, recurrence, language
 ContactCustomFields |            6 | id, name, value, contactId, createdAt, updatedAt
 ContactListItems    |            9 | id, name, number, email, contactListId, isWhatsappValid, companyId, createdAt, updatedAt
 ContactLists        |            5 | id, name, companyId, createdAt, updatedAt
 Contacts            |           11 | id, name, number, profilePicUrl, createdAt, updatedAt, email, isGroup, companyId, whatsappId, disableBot
 Files               |            6 | id, companyId, name, message, createdAt, updatedAt
 FilesOptions        |            7 | id, name, path, fileId, createdAt, updatedAt, mediaType
 FlowAudios          |            6 | id, companyId, userId, name, createdAt, updatedAt
 FlowBuilders        |            9 | id, user_id, name, active, flow, createdAt, updatedAt, company_id, variables
 FlowCampaigns       |           10 | id, companyId, userId, name, flowId, phrase, status, createdAt, updatedAt, whatsappId
 FlowDefaults        |            7 | id, companyId, userId, flowIdWelcome, flowIdNotPhrase, createdAt, updatedAt
 FlowImgs            |            6 | id, companyId, userId, name, createdAt, updatedAt
 Helps               |            7 | id, title, description, video, link, createdAt, updatedAt
 Invoices            |            8 | id, detail, status, value, createdAt, updatedAt, dueDate, companyId
 Messages            |           19 | id, body, ack, read, mediaType, mediaUrl, ticketId, createdAt, updatedAt, fromMe, isDeleted, contactId, quotedMsgId, companyId, remoteJid, dataJson, participant, queueId, isEdited
 Plans               |           15 | id, name, users, connections, queues, value, createdAt, updatedAt, useCampaigns, useExternalApi, useInternalChat, useSchedules, useKanban, useOpenAi, useIntegrations
 Prompts             |           15 | id, name, apiKey, prompt, maxTokens, maxMessages, temperature, promptTokens, completionTokens, totalTokens, companyId, createdAt, updatedAt, model, queueId
 QueueIntegrations   |           17 | id, type, name, projectName, jsonContent, language, createdAt, updatedAt, urlN8N, companyId, typebotSlug, typebotKeywordFinish, typebotUnknownMessage, typebotExpires, typebotDelayMessage, typebotKeywordRestart, typebotRestartMessage
 QueueOptions        |            8 | id, title, message, option, queueId, parentId, createdAt, updatedAt
 Queues              |           12 | id, name, color, greetingMessage, createdAt, updatedAt, companyId, outOfHoursMessage, schedules, orderQueue, integrationId, promptId
 QuickMessages       |            9 | id, shortcode, message, companyId, createdAt, updatedAt, userId, mediaPath, mediaName
 Schedules           |           13 | id, body, sendAt, sentAt, contactId, ticketId, userId, companyId, createdAt, updatedAt, status, mediaName, mediaPath
 SequelizeMeta       |            1 | name
 Settings            |            6 | key, value, createdAt, updatedAt, companyId, id
 Subscriptions       |           11 | id, isActive, expiresAt, userPriceCents, whatsPriceCents, lastInvoiceUrl, lastPlanChange, companyId, providerSubscriptionId, createdAt, updatedAt
 Tags                |            7 | id, name, color, companyId, createdAt, updatedAt, kanban
 TicketNotes         |            7 | id, note, userId, contactId, ticketId, createdAt, updatedAt
 TicketTags          |            4 | ticketId, tagId, createdAt, updatedAt
 TicketTraking       |           13 | id, ticketId, companyId, whatsappId, userId, createdAt, updatedAt, queuedAt, startedAt, finishedAt, ratingAt, rated, chatbotAt
 Tickets             |           27 | id, status, lastMessage, contactId, userId, createdAt, updatedAt, whatsappId, isGroup, unreadMessages, queueId, companyId, uuid, chatbot, queueOptionId, amountUsedBotQueues, fromMe, useIntegration, integrationId, typebotSessionId, typebotStatus, promptId, flowWebhook, lastFlowId, hashFlowId, flowStopped, dataWebhook
 UserQueues          |            4 | userId, queueId, createdAt, updatedAt
 UserRatings         |            7 | id, ticketId, companyId, userId, rate, createdAt, updatedAt
 Users               |           14 | id, name, email, passwordHash, createdAt, updatedAt, profile, tokenVersion, companyId, super, online, allTicket, whatsappId, resetPassword
 Webhooks            |           10 | id, user_id, name, hash_id, config, createdAt, updatedAt, active, requestMonth, requestAll
 WhatsappQueues      |            4 | whatsappId, queueId, createdAt, updatedAt
 Whatsapps           |           30 | id, session, qrcode, status, battery, plugged, createdAt, updatedAt, name, isDefault, retries, greetingMessage, companyId, complationMessage, outOfHoursMessage, ratingMessage, token, farewellMessage, provider, sendIdQueue, promptId, integrationId, maxUseBotQueues, expiresTicket, expiresInactiveMessage, timeUseBotQueues, transferQueueId, timeToTransfer, flowIdNotPhrase, flowIdWelcome
(46 rows)

