     table_name      |        column_name        |        data_type         | character_maximum_length |                  column_default                   | is_nullable | ordinal_position 
---------------------+---------------------------+--------------------------+--------------------------+---------------------------------------------------+-------------+------------------
 Announcements       | id                        | integer                  |                          | nextval('"Announcements_id_seq"'::regclass)       | NO          |                1
 Announcements       | priority                  | integer                  |                          | 0                                                 | YES         |                2
 Announcements       | title                     | character varying        |                      255 |                                                   | NO          |                3
 Announcements       | text                      | text                     |                          |                                                   | NO          |                4
 Announcements       | mediaPath                 | character varying        |                      255 | ''::character varying                             | YES         |                5
 Announcements       | mediaName                 | character varying        |                      255 | ''::character varying                             | YES         |                6
 Announcements       | companyId                 | integer                  |                          |                                                   | NO          |                7
 Announcements       | status                    | boolean                  |                          | true                                              | YES         |                8
 Announcements       | createdAt                 | timestamp with time zone |                          |                                                   | NO          |                9
 Announcements       | updatedAt                 | timestamp with time zone |                          |                                                   | NO          |               10
 Baileys             | id                        | integer                  |                          | nextval('"Baileys_id_seq"'::regclass)             | NO          |                1
 Baileys             | whatsappId                | integer                  |                          |                                                   | NO          |                2
 Baileys             | contacts                  | jsonb                    |                          |                                                   | YES         |                3
 Baileys             | chats                     | jsonb                    |                          |                                                   | YES         |                4
 Baileys             | createdAt                 | timestamp with time zone |                          |                                                   | NO          |                5
 Baileys             | updatedAt                 | timestamp with time zone |                          |                                                   | NO          |                6
 BaileysChats        | id                        | integer                  |                          | nextval('"BaileysChats_id_seq"'::regclass)        | NO          |                1
 BaileysChats        | whatsappId                | integer                  |                          |                                                   | NO          |                2
 BaileysChats        | jid                       | character varying        |                      255 |                                                   | NO          |                3
 BaileysChats        | conversationTimestamp     | bigint                   |                          |                                                   | YES         |                4
 BaileysChats        | createdAt                 | timestamp with time zone |                          |                                                   | NO          |                5
 BaileysChats        | updatedAt                 | timestamp with time zone |                          |                                                   | NO          |                6
 BaileysMessages     | id                        | integer                  |                          | nextval('"BaileysMessages_id_seq"'::regclass)     | NO          |                1
 BaileysMessages     | whatsappId                | integer                  |                          |                                                   | NO          |                2
 BaileysMessages     | jid                       | character varying        |                      255 |                                                   | NO          |                3
 BaileysMessages     | messageId                 | character varying        |                      255 |                                                   | NO          |                4
 BaileysMessages     | content                   | jsonb                    |                          |                                                   | YES         |                5
 BaileysMessages     | createdAt                 | timestamp with time zone |                          |                                                   | NO          |                6
 BaileysMessages     | updatedAt                 | timestamp with time zone |                          |                                                   | NO          |                7
 CampaignSettings    | id                        | integer                  |                          | nextval('"CampaignSettings_id_seq"'::regclass)    | NO          |                1
 CampaignSettings    | key                       | character varying        |                      255 |                                                   | NO          |                2
 CampaignSettings    | value                     | text                     |                          |                                                   | YES         |                3
 CampaignSettings    | campaignId                | integer                  |                          |                                                   | NO          |                4
 CampaignSettings    | companyId                 | integer                  |                          |                                                   | YES         |                5
 CampaignSettings    | createdAt                 | timestamp with time zone |                          |                                                   | NO          |                6
 CampaignSettings    | updatedAt                 | timestamp with time zone |                          |                                                   | NO          |                7
 CampaignShipping    | id                        | integer                  |                          | nextval('"CampaignShipping_id_seq"'::regclass)    | NO          |                1
 CampaignShipping    | jobId                     | character varying        |                      255 |                                                   | YES         |                2
 CampaignShipping    | number                    | character varying        |                      255 |                                                   | YES         |                3
 CampaignShipping    | message                   | text                     |                          |                                                   | YES         |                4
 CampaignShipping    | confirmationMessage       | text                     |                          |                                                   | YES         |                5
 CampaignShipping    | confirmation              | boolean                  |                          | false                                             | YES         |                6
